hour_index,datetime, global_horizontal_irradiance , direct_normal_irradiance , diffuse_horizontal_irradiance , dry_bulb_temperature , windspeed , albedo , solar_altitude_angle , solar_azimuth_angle , solar_incident_angle , horizon_elevation_angle , tracker_roll_angle , adjusted_ghi , poa_direct_irradiance , poa_diffuse_irradiance , poa_reflected_irradiance , shaded_direct_irradiance , shaded_diffuse_irradiance , shaded_reflected_irradiance , effective_direct_irradiance , effective_diffuse_irradiance , effective_reflected_irradiance , soiled_irradiance , total_irradiance , nameplate_power , avg_cell_temp , module_irradiance_derated_power , module_mpp_power , module_power , optimizer_input_power , optimizer_output_power , optimal_dc_power , optimal_dc_voltage , inverter_overpower_loss , inverter_underpower_loss , inverter_overvoltage_loss , inverter_undervoltage_loss , actual_dc_power , actual_dc_voltage ,ac_power ,pv_kw 
12,1/1/2025 11:00,50.4,,49.68,2.56,3.87,0.2,9.52,173.55,80.62, -   ,,50.4,0.71,48.64,0.08,0.71,48.64,0.01,0.52,46.45,0,46.03,46.03,"38,641.66",3.68,"34,554.14","37,363.12","36,100.67", -   , -   ,"36,088.33",469.58, -   , -   , -   , -   ,"36,088.33",469.58,"34,506.70",34.334
13,1/1/2025 12:00,50.13,,50.13,2.83,4.2,0.2,9.45,187.54,80.69, -   ,,50.13, -   ,49.08,0.08, -   ,49.08,0.01, -   ,46.87,0,45.93,45.93,"38,557.02",3.93,"34,472.09","37,242.90","35,956.82", -   , -   ,"35,944.56",469.48, -   , -   , -   , -   ,"35,944.56",469.48,"34,368.06",34.196
14,1/1/2025 13:00,42.65,,40.98,2.93,4.5,0.2,7.43,201.35,82.66, -   ,,42.65,1.64,41.26,0.06,1.64,41.26,0.01,1.08,39.4,0,39.67,39.67,"33,298.15",3.85,"29,381.40","31,754.43","30,560.45", -   , -   ,"30,551.50",467.04, -   , -   , -   , -   ,"30,551.50",467.04,"29,175.93",29.03
15,1/1/2025 14:00,15.68,,15.68,2.74,4.38,0.2,3.63,214.68,85.12, -   ,,15.68, -   ,15.34,0.02, -   ,15.34,0, -   ,14.65,0,14.36,14.36,"12,054.12",3.08,"9,271.75","9,999.02","9,683.11", -   , -   ,"9,682.11",442.85, -   , -   , -   , -   ,"9,682.11",442.85,"9,197.90",9.152
16,1/1/2025 15:00, -   ,, -   ,2.44,5.05,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
17,1/1/2025 16:00, -   ,, -   ,2.22,4.56,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
18,1/1/2025 17:00, -   ,, -   ,2.05,4.68,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
19,1/1/2025 18:00, -   ,, -   ,1.87,4.28,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
20,1/1/2025 19:00, -   ,, -   ,1.69,4.22,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
21,1/1/2025 20:00, -   ,, -   ,1.5,4.28,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
22,1/1/2025 21:00, -   ,, -   ,1.32,3.63,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
23,1/1/2025 22:00, -   ,, -   ,1.14,3.05,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
24,1/1/2025 23:00, -   ,, -   ,0.95,2.84,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
25,1/2/2025 0:00, -   ,, -   ,0.79,3.04,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
26,1/2/2025 1:00, -   ,, -   ,0.63,4.17,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
27,1/2/2025 2:00, -   ,, -   ,0.49,5.1,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
28,1/2/2025 3:00, -   ,, -   ,0.42,4.97,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
29,1/2/2025 4:00, -   ,, -   ,0.35,5.48,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
30,1/2/2025 5:00, -   ,, -   ,0.29,5,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
31,1/2/2025 6:00, -   ,, -   ,0.25,5.2,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
32,1/2/2025 7:00, -   ,, -   ,0.22,4.07,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
33,1/2/2025 8:00, -   ,, -   ,0.25,4.12,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
34,1/2/2025 9:00,3.43,,3.43,0.54,4.05,0.2,4.02,146.22,85.5, -   ,,3.43, -   ,3.38,0.01, -   ,3.38,0, -   ,3.23,0,3.16,3.16,"2,655.26",0.62,"1,037.72","1,023.57","1,013.33", -   , -   ,"1,013.31",349.43, -   , -   , -   , -   ,"1,013.31",349.43,963.13,0.958
35,1/2/2025 10:00,79,,44.62,1.92,4.1,0.2,7.71,159.6,82.39, -   ,,79,33.86,45.15,0.12,33.86,45.15,0.01,22.75,43.11,0,64.55,64.55,"54,192.93",3.46,"49,824.98","53,848.29","52,036.52", -   , -   ,"52,009.60",476.48, -   , -   , -   , -   ,"52,009.60",476.48,"49,946.94",49.697
36,1/2/2025 11:00,102.23,,60,3.1,3.8,0.2,9.61,173.44,80.54, -   ,,102.23,41.59,60.61,0.16,41.59,60.61,0.01,31.02,57.87,0,87.12,87.12,"73,128.31",5.23,"68,474.91","73,544.83","71,001.23", -   , -   ,"70,955.06",478.62, -   , -   , -   , -   ,"70,955.06",478.62,"68,343.44",68.002
37,1/2/2025 12:00,101.02,,59.5,3.77,4.52,0.2,9.55,187.44,80.59, -   ,,101.02,40.89,60.11,0.15,40.89,60.11,0.01,30.42,57.39,0,86.06,86.05,"72,232.74",5.77,"67,603.03","72,467.45","69,886.40", -   , -   ,"69,841.09",477.92, -   , -   , -   , -   ,"69,841.09",477.92,"67,268.92",66.933
38,1/2/2025 13:00,50.28,,45.72,3.73,4.83,0.2,7.54,201.26,82.55, -   ,,50.28,4.5,46.13,0.08,4.5,46.13,0.01,2.98,44.05,0,46.09,46.09,"38,690.01",4.78,"34,601.95","37,272.84","35,919.53", -   , -   ,"35,907.30",468.64, -   , -   , -   , -   ,"35,907.30",468.64,"34,330.56",34.159
39,1/2/2025 14:00,28.15,,24.4,3.33,4.2,0.2,3.76,214.61,85.06, -   ,,28.15,3.7,24.2,0.04,0.4,24.2,0,0.31,23.11,0,22.95,22.95,"19,263.22",3.87,"15,990.47","17,263.31","16,625.13", -   , -   ,"16,622.32",455.2, -   , -   , -   , -   ,"16,622.32",455.2,"15,818.00",15.739
40,1/2/2025 15:00, -   ,, -   ,2.75,4.45,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
41,1/2/2025 16:00, -   ,, -   ,2.54,4.13,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
42,1/2/2025 17:00, -   ,, -   ,2.39,4.23,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
43,1/2/2025 18:00, -   ,, -   ,2.24,3.47,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
44,1/2/2025 19:00, -   ,, -   ,2.1,2.93,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
45,1/2/2025 20:00, -   ,, -   ,1.95,2.58,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
46,1/2/2025 21:00, -   ,, -   ,1.8,2.1,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
47,1/2/2025 22:00, -   ,, -   ,1.65,1.59,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
48,1/2/2025 23:00, -   ,, -   ,1.5,1.05,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
49,1/3/2025 0:00, -   ,, -   ,1.29,0.81,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
50,1/3/2025 1:00, -   ,, -   ,1.07,0.76,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
51,1/3/2025 2:00, -   ,, -   ,0.86,1,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
52,1/3/2025 3:00, -   ,, -   ,0.74,0.76,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
53,1/3/2025 4:00, -   ,, -   ,0.62,0.75,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
54,1/3/2025 5:00, -   ,, -   ,0.52,0.58,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
55,1/3/2025 6:00, -   ,, -   ,0.44,0.79,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
56,1/3/2025 7:00, -   ,, -   ,0.37,1,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
57,1/3/2025 8:00,0.35,,0.35,0.52,1.2,0.2,-1.16,133.29,87.16, -   ,,0.35, -   ,0.36,0, -   ,0.36, -   , -   ,0.34, -   ,0.33,0.33,280.14,0.53,11.79,11.51,11.48, -   , -   ,11.48,35.8, -   , -   , -   ,11.48, -   ,150, -   ,0
58,1/3/2025 9:00,38.67,,25.3,1.64,1.46,0.2,4.08,146.08,85.46, -   ,,38.67,12.12,25.13,0.06,12.12,25.13,0.01,8.88,24,0,32.23,32.24,"27,066.48",2.56,"23,506.01","25,483.92","24,636.29", -   , -   ,"24,629.21",466.38, -   , -   , -   , -   ,"24,629.21",466.38,"23,517.18",23.4
59,1/3/2025 10:00,102.72,,37.42,3.23,2.03,0.2,7.79,159.47,82.32, -   ,,102.72,64.31,38.44,0.16,64.31,38.44,0.01,43.43,36.71,0,78.54,78.54,"65,934.84",5.38,"61,490.68","65,936.38","63,808.34", -   , -   ,"63,765.53",476.55, -   , -   , -   , -   ,"63,765.53",476.55,"61,438.01",61.131
60,1/3/2025 11:00,108.17,,54.5,4.29,2.3,0.2,9.7,173.32,80.45, -   ,,108.17,52.85,55.15,0.16,52.85,55.15,0.01,39.56,52.67,0,90.39,90.39,"75,877.31",6.73,"71,206.65","76,078.50","73,497.92", -   , -   ,"73,448.20",476.41, -   , -   , -   , -   ,"73,448.20",476.41,"70,770.76",70.417
61,1/3/2025 12:00,105.55,,52.32,4.86,2.46,0.2,9.65,187.34,80.49, -   ,,105.55,52.42,52.98,0.16,52.42,52.98,0.01,39.17,50.59,0,87.97,88.01,"73,875.51",7.21,"69,241.48","73,844.38","71,306.39", -   , -   ,"71,258.21",475.2, -   , -   , -   , -   ,"71,258.21",475.2,"68,648.55",68.305
62,1/3/2025 13:00,76.82,,43.5,4.9,2.34,0.2,7.66,201.18,82.43, -   ,,76.82,32.81,44.03,0.12,32.81,44.03,0.01,21.96,42.05,0,62.73,62.8,"52,713.02",6.59,"48,446.98","51,765.20","50,060.43", -   , -   ,"50,033.02",471.09, -   , -   , -   , -   ,"50,033.02",471.09,"48,054.27",47.814
63,1/3/2025 14:00,31.55,,26.9,4.29,1.94,0.2,3.88,214.54,85.01, -   ,,31.55,4.64,26.71,0.05,0.52,26.71,0,0.4,25.51,0,25.39,25.39,"21,311.46",5,"17,926.01","19,285.14","18,530.71", -   , -   ,"18,527.19",455.3, -   , -   , -   , -   ,"18,527.19",455.3,"17,638.04",17.55
64,1/3/2025 15:00, -   ,, -   ,3.48,2.32,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
65,1/3/2025 16:00, -   ,, -   ,3.28,3.05,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
66,1/3/2025 17:00, -   ,, -   ,3.19,4.05,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
67,1/3/2025 18:00, -   ,, -   ,3.11,4.1,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
68,1/3/2025 19:00, -   ,, -   ,3.02,3.5,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
69,1/3/2025 20:00, -   ,, -   ,2.94,3.45,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
70,1/3/2025 21:00, -   ,, -   ,2.85,3.74,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
71,1/3/2025 22:00, -   ,, -   ,2.76,3.73,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
72,1/3/2025 23:00, -   ,, -   ,2.68,3.79,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
73,1/4/2025 0:00, -   ,, -   ,2.61,3.8,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
74,1/4/2025 1:00, -   ,, -   ,2.55,3.87,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
75,1/4/2025 2:00, -   ,, -   ,2.49,4.37,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
76,1/4/2025 3:00, -   ,, -   ,2.46,4.89,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
77,1/4/2025 4:00, -   ,, -   ,2.43,5.7,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
78,1/4/2025 5:00, -   ,, -   ,2.41,4.82,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
79,1/4/2025 6:00, -   ,, -   ,2.39,3.81,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
80,1/4/2025 7:00, -   ,, -   ,2.36,3.44,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
81,1/4/2025 8:00,0.33,,0.33,2.42,3.34,0.2,-1.11,133.15,87.13, -   ,,0.33, -   ,0.34,0, -   ,0.34, -   , -   ,0.32, -   ,0.32,0.32,266.61,2.43,10.68,10.45,10.42, -   , -   ,10.42,34.1, -   , -   , -   ,10.42, -   ,150, -   ,0
82,1/4/2025 9:00,5.08,,5.08,2.69,2.99,0.2,4.14,145.95,85.42, -   ,,5.08, -   ,5,0.01, -   ,5,0, -   ,4.77,0,4.67,4.68,"3,924.27",2.81,"2,047.86","2,106.87","2,059.04", -   , -   ,"2,058.98",402.4, -   , -   , -   , -   ,"2,058.98",402.4,"1,954.90",1.945
83,1/4/2025 10:00,51.85,,46.82,3.63,3.05,0.2,7.87,159.35,82.24, -   ,,51.85,4.96,47.22,0.08,4.96,47.22,0.01,3.37,45.09,0,47.49,47.49,"39,866.14",4.84,"35,744.42","38,493.61","37,063.52", -   , -   ,"37,050.45",468.93, -   , -   , -   , -   ,"37,050.45",468.93,"35,431.96",35.255
84,1/4/2025 11:00,60.52,,51.97,4.45,3.02,0.2,9.79,173.21,80.36, -   ,,60.52,8.42,51.57,0.09,8.42,51.57,0.01,6.33,49.25,0,54.46,54.46,"45,718.58",5.85,"41,448.64","44,472.83","42,906.94", -   , -   ,"42,889.41",468.99, -   , -   , -   , -   ,"42,889.41",468.99,"41,062.91",40.858
85,1/4/2025 12:00,85.63,,63.13,5.16,3.5,0.2,9.77,187.24,80.38, -   ,,85.63,22.16,63.11,0.13,22.16,63.11,0.01,16.63,60.27,0,75.37,75.37,"63,269.13",7.03,"58,712.80","62,690.01","60,524.04", -   , -   ,"60,489.58",472.92, -   , -   , -   , -   ,"60,489.58",472.92,"58,131.70",57.841
86,1/4/2025 13:00,43.98,,43.77,5.25,2.96,0.2,7.79,201.1,82.31, -   ,,43.98,0.21,42.85,0.07,0.21,42.85,0.01,0.14,40.92,0,40.24,40.24,"33,778.00",6.29,"29,844.73","31,984.20","30,879.81", -   , -   ,"30,870.49",462.66, -   , -   , -   , -   ,"30,870.49",462.66,"29,473.82",29.327
87,1/4/2025 14:00,16.82,,16.78,4.88,2.55,0.2,4.02,214.48,84.94, -   ,,16.82,0.03,16.41,0.03,0,16.41,0,0,15.67,0,15.36,15.36,"12,895.09",5.29,"10,045.45","10,765.10","10,407.33", -   , -   ,"10,406.17",441.54, -   , -   , -   , -   ,"10,406.17",441.54,"9,887.39",9.838
88,1/4/2025 15:00,0.25,,0.25,4.41,2.51,0.2,-1.27,227.27,86.77, -   ,,0.25, -   ,0.25,0, -   ,0.25, -   , -   ,0.24, -   ,0.24,0.24,198.62,4.41,5.93,5.82,5.8, -   , -   ,5.8,25.48, -   , -   , -   ,5.8, -   ,150, -   ,0
89,1/4/2025 16:00, -   ,, -   ,4.33,2.64,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
90,1/4/2025 17:00, -   ,, -   ,4.33,2.95,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
