datetime,temperature_degC,base_load_kW,hvac_heating_kW,hvac_cooling_kW,equipment_kW,shore_power_kW,load_kw,ghi_W_m2,total_load_kWh
1/2/2025 21:00,2.6,511.7739803,147.2,0,334,0,992.9739803,0,992.9739803
1/2/2025 22:00,2.4,333.7656393,89.28,0,144,0,567.0456393,0,567.0456393
1/2/2025 23:00,2.3,333.7656393,89.76,0,144,0,567.5256393,0,567.5256393
1/3/2025 0:00,2.2,333.7656393,90.24,0,144,0,568.0056393,0,568.0056393
1/3/2025 1:00,1.8,333.7656393,92.16,0,144,0,569.9256393,0,569.9256393
1/3/2025 2:00,1.7,333.7656393,92.64,0,144,0,570.4056393,0,570.4056393
1/3/2025 3:00,1.8,333.7656393,92.16,0,144,0,569.9256393,0,569.9256393
1/3/2025 4:00,1.8,333.7656393,92.16,0,144,0,569.9256393,0,569.9256393
1/3/2025 5:00,1.9,333.7656393,91.68,0,144,0,569.4456393,0,569.4456393
1/3/2025 6:00,2.4,511.7739803,148.8,0,334,0,994.5739803,0,994.5739803
1/3/2025 7:00,2.4,511.7739803,148.8,0,334,0,994.5739803,0,994.5739803
1/3/2025 8:00,2.4,511.7739803,148.8,0,334,0,994.5739803,0,994.5739803
1/3/2025 9:00,2.7,511.7739803,146.4,0,334,0,992.1739803,0,992.1739803
1/3/2025 10:00,3,511.7739803,144,0,334,0,989.7739803,34,989.7739803
1/3/2025 11:00,3.3,511.7739803,141.6,0,334,0,987.3739803,58,987.3739803
1/3/2025 12:00,3.6,511.7739803,139.2,0,334,0,984.9739803,70,984.9739803
